PacketID,Prediction,Action
0,[0.99616814],Blocked
1,[0.00125469],Allowed
2,[1.0209382e-05],Allowed
3,[0.0020365],Allowed
4,[3.169653e-06],Allowed
5,[0.9999631],Blocked
6,[0.00259714],Allowed
7,[0.85987365],Blocked
8,[0.22136481],Allowed
9,[0.00270769],Allowed
10,[0.00083363],Allowed
11,[0.9582434],Blocked
12,[0.15033428],Allowed
13,[0.997703],Blocked
14,[7.687872e-06],Allowed
15,[0.9999744],Blocked
16,[0.00105062],Allowed
17,[0.62151676],Blocked
18,[0.8999531],Blocked
19,[0.7967936],Blocked
20,[0.9987499],Blocked
21,[0.0008383],Allowed
22,[1.6059405e-05],Allowed
23,[0.03775289],Allowed
24,[0.0016112],Allowed
25,[0.9034573],Blocked
26,[0.00086556],Allowed
27,[0.7569548],Blocked
28,[0.97079265],Blocked
29,[0.9997214],Blocked
30,[0.00032694],Allowed
31,[0.00192789],Allowed
32,[6.5599643e-06],Allowed
33,[9.028053e-06],Allowed
34,[0.9969527],Blocked
35,[0.0012391],Allowed
36,[0.998844],Blocked
37,[0.0010678],Allowed
38,[0.00093798],Allowed
39,[0.99810815],Blocked
40,[0.99929154],Blocked
41,[0.00336653],Allowed
42,[0.96666366],Blocked
43,[0.00369476],Allowed
44,[0.98889786],Blocked
45,[0.00202487],Allowed
46,[0.00670239],Allowed
47,[0.0032441],Allowed
48,[0.0008988],Allowed
49,[3.7595233e-05],Allowed
50,[0.00019276],Allowed
51,[0.3033032],Allowed
52,[0.00028134],Allowed
53,[0.02194706],Allowed
54,[0.00110782],Allowed
55,[0.9533276],Blocked
56,[0.00350327],Allowed
57,[0.14169446],Allowed
58,[0.00119711],Allowed
59,[0.00078755],Allowed
60,[5.0844837e-06],Allowed
61,[0.9019142],Blocked
62,[0.76309294],Blocked
63,[5.957082e-06],Allowed
64,[0.00090532],Allowed
65,[0.8487052],Blocked
66,[0.00092181],Allowed
67,[0.86457837],Blocked
68,[0.99997985],Blocked
69,[3.385988e-06],Allowed
70,[0.957661],Blocked
71,[0.00050271],Allowed
72,[0.00366798],Allowed
73,[4.8909482e-05],Allowed
74,[0.00174633],Allowed
75,[0.9994395],Blocked
76,[2.5332285e-05],Allowed
77,[0.809656],Blocked
78,[0.9297931],Blocked
79,[0.00047715],Allowed
80,[0.62921757],Blocked
81,[0.00017768],Allowed
82,[0.9990356],Blocked
83,[0.00108597],Allowed
84,[0.9831997],Blocked
85,[1.0825513e-06],Allowed
86,[0.00130218],Allowed
87,[0.00016334],Allowed
88,[0.5308397],Blocked
89,[0.9688193],Blocked
90,[0.8561338],Blocked
91,[0.62956166],Blocked
92,[0.9785536],Blocked
93,[0.00206282],Allowed
94,[0.00020412],Allowed
95,[0.00125382],Allowed
96,[0.9993955],Blocked
97,[0.857984],Blocked
98,[0.03454701],Allowed
99,[0.99687105],Blocked
100,[4.3987424e-05],Allowed
101,[0.99370766],Blocked
102,[0.0001318],Allowed
103,[0.98717743],Blocked
104,[0.9499123],Blocked
105,[1.3992311e-05],Allowed
106,[0.00060031],Allowed
107,[0.99691415],Blocked
108,[0.9264109],Blocked
109,[0.00016583],Allowed
110,[0.4181412],Allowed
111,[0.9998136],Blocked
112,[0.00058232],Allowed
113,[0.00135655],Allowed
114,[0.8368645],Blocked
115,[0.00130118],Allowed
116,[0.99998873],Blocked
117,[0.1370012],Allowed
118,[0.02024774],Allowed
119,[9.6247415e-05],Allowed
120,[0.7566636],Blocked
121,[0.00040596],Allowed
122,[0.9989428],Blocked
123,[0.23027423],Allowed
124,[3.362455e-05],Allowed
125,[0.00018479],Allowed
126,[0.00153899],Allowed
127,[0.00172249],Allowed
128,[0.99445295],Blocked
129,[0.00019771],Allowed
130,[0.94516915],Blocked
131,[1.3642699e-05],Allowed
132,[1.7924278e-05],Allowed
133,[0.9990346],Blocked
134,[0.0112618],Allowed
135,[0.90685976],Blocked
136,[0.00165082],Allowed
137,[0.9995881],Blocked
138,[0.0001126],Allowed
139,[0.9994676],Blocked
140,[0.00014135],Allowed
141,[0.8644016],Blocked
142,[0.9930876],Blocked
143,[2.2219574e-05],Allowed
144,[0.6625611],Blocked
145,[0.999998],Blocked
146,[0.9986787],Blocked
147,[0.00117473],Allowed
148,[0.00048779],Allowed
149,[0.00507791],Allowed
150,[0.72833604],Blocked
151,[0.99406976],Blocked
152,[0.00044086],Allowed
153,[0.6880061],Blocked
154,[0.70483315],Blocked
155,[0.99329734],Blocked
156,[0.9759749],Blocked
157,[0.01233004],Allowed
158,[0.9527186],Blocked
159,[0.00015288],Allowed
160,[0.00013782],Allowed
161,[0.00320687],Allowed
162,[0.59163177],Blocked
163,[0.0008156],Allowed
164,[0.00100963],Allowed
165,[0.00100582],Allowed
166,[0.9884235],Blocked
167,[0.9988572],Blocked
168,[0.9441875],Blocked
169,[0.00496817],Allowed
170,[0.00100655],Allowed
171,[0.9964113],Blocked
172,[0.77439004],Blocked
173,[0.9996068],Blocked
174,[0.00094018],Allowed
175,[0.00013227],Allowed
176,[0.00426678],Allowed
177,[0.27477077],Allowed
178,[0.00452895],Allowed
179,[0.999734],Blocked
180,[0.92152154],Blocked
181,[0.00226267],Allowed
182,[0.9996772],Blocked
183,[0.00011977],Allowed
184,[0.52364945],Blocked
185,[0.6233566],Blocked
186,[8.164976e-06],Allowed
187,[0.895673],Blocked
188,[0.00491118],Allowed
189,[0.00094296],Allowed
190,[0.96442],Blocked
191,[0.00355311],Allowed
192,[0.00237167],Allowed
193,[6.882664e-05],Allowed
194,[0.76540804],Blocked
195,[2.485991e-05],Allowed
196,[2.99535e-05],Allowed
197,[0.0011015],Allowed
198,[0.00023212],Allowed
199,[0.0018155],Allowed
200,[0.9998616],Blocked
201,[0.9766566],Blocked
202,[4.148766e-06],Allowed
203,[0.00597705],Allowed
204,[0.9998557],Blocked
205,[4.7961967e-06],Allowed
206,[0.70848644],Blocked
207,[5.253742e-06],Allowed
208,[0.999844],Blocked
209,[0.0134752],Allowed
210,[1.398917e-06],Allowed
211,[0.99456936],Blocked
212,[0.46985495],Allowed
213,[0.8683986],Blocked
214,[0.8084766],Blocked
215,[0.79657954],Blocked
216,[0.871303],Blocked
217,[0.7375346],Blocked
218,[0.5262303],Blocked
219,[0.00024686],Allowed
220,[0.9855562],Blocked
221,[0.99995744],Blocked
222,[0.9997307],Blocked
223,[0.00017262],Allowed
224,[0.8686554],Blocked
225,[0.00096076],Allowed
226,[0.99666417],Blocked
227,[0.9998311],Blocked
228,[0.00286207],Allowed
229,[0.95964104],Blocked
230,[1.5584774e-05],Allowed
231,[0.00401898],Allowed
232,[0.99959356],Blocked
233,[0.92717624],Blocked
234,[0.00109714],Allowed
235,[0.9639524],Blocked
236,[0.03205334],Allowed
237,[0.00099062],Allowed
238,[0.624083],Blocked
239,[0.99934435],Blocked
240,[0.9264521],Blocked
241,[0.00264246],Allowed
242,[9.829673e-06],Allowed
243,[0.00012426],Allowed
244,[0.00958731],Allowed
245,[0.00028109],Allowed
246,[0.32070068],Allowed
247,[0.0027679],Allowed
248,[7.779948e-06],Allowed
249,[0.00139239],Allowed
250,[0.9756043],Blocked
251,[0.00096807],Allowed
252,[0.9996801],Blocked
253,[0.79363304],Blocked
254,[0.00069388],Allowed
255,[0.7378431],Blocked
256,[0.00031737],Allowed
257,[0.9999813],Blocked
258,[2.9979099e-06],Allowed
259,[0.00014043],Allowed
260,[0.00314802],Allowed
261,[0.2152252],Allowed
262,[0.9870567],Blocked
263,[5.2967607e-06],Allowed
264,[0.00122623],Allowed
265,[0.99997985],Blocked
266,[0.9999272],Blocked
267,[2.3122535e-05],Allowed
268,[0.001092],Allowed
269,[0.01956931],Allowed
270,[5.255716e-09],Allowed
271,[0.9999969],Blocked
272,[0.99933517],Blocked
273,[0.98239255],Blocked
274,[0.00275868],Allowed
275,[0.8913763],Blocked
276,[0.96706796],Blocked
277,[0.00326824],Allowed
278,[0.32133096],Allowed
279,[0.87381756],Blocked
280,[0.64548767],Blocked
281,[0.00164147],Allowed
282,[0.9968104],Blocked
283,[0.87452143],Blocked
284,[0.95984846],Blocked
285,[0.85454684],Blocked
286,[0.00248525],Allowed
287,[0.00107259],Allowed
288,[0.00092965],Allowed
289,[9.225383e-05],Allowed
290,[0.9999911],Blocked
291,[0.9656084],Blocked
292,[0.9998726],Blocked
293,[0.00092927],Allowed
294,[0.963287],Blocked
295,[0.9514999],Blocked
296,[0.9986048],Blocked
297,[0.55829513],Blocked
298,[9.2197166e-07],Allowed
299,[0.9993925],Blocked
300,[0.31504685],Allowed
301,[0.00017325],Allowed
302,[0.9629116],Blocked
303,[0.00064865],Allowed
304,[0.01477056],Allowed
305,[0.41405118],Allowed
306,[0.85514677],Blocked
307,[0.65184784],Blocked
308,[2.1900107e-06],Allowed
309,[0.89988345],Blocked
310,[0.9975421],Blocked
311,[0.869614],Blocked
312,[0.72369707],Blocked
313,[0.9739661],Blocked
314,[0.0003937],Allowed
315,[0.8444904],Blocked
316,[4.904747e-09],Allowed
317,[0.9867577],Blocked
318,[0.98117137],Blocked
319,[0.98976433],Blocked
320,[0.11478212],Allowed
321,[0.00096914],Allowed
322,[0.99625766],Blocked
323,[0.88038146],Blocked
324,[0.70942205],Blocked
325,[0.96574783],Blocked
326,[5.596716e-07],Allowed
327,[0.7763309],Blocked
328,[0.9724855],Blocked
329,[1.8517913e-08],Allowed
330,[1.0309768e-05],Allowed
331,[0.00016486],Allowed
332,[0.00022691],Allowed
333,[0.00069989],Allowed
334,[0.99739635],Blocked
335,[0.00018551],Allowed
336,[0.00105924],Allowed
337,[0.713523],Blocked
338,[0.9999799],Blocked
339,[0.00058274],Allowed
340,[0.8827041],Blocked
341,[0.9384263],Blocked
342,[0.00950778],Allowed
343,[0.89759254],Blocked
344,[0.9260935],Blocked
345,[0.00283106],Allowed
346,[3.1199143e-05],Allowed
347,[0.8530286],Blocked
348,[0.19448993],Allowed
349,[0.883127],Blocked
350,[0.987021],Blocked
351,[0.00020885],Allowed
352,[0.00331399],Allowed
353,[0.00021884],Allowed
354,[0.99913335],Blocked
355,[0.00010975],Allowed
356,[0.99999774],Blocked
357,[2.7386313e-05],Allowed
358,[0.6939832],Blocked
359,[0.00088036],Allowed
360,[0.00195053],Allowed
361,[0.9903976],Blocked
362,[0.00141829],Allowed
363,[0.4915609],Allowed
364,[0.8689852],Blocked
365,[0.9186944],Blocked
366,[0.9997312],Blocked
367,[0.9910554],Blocked
